Afghanistan;93;0,1796;;0,24246
Afghanistan-mobile Areeba;9377;0,2095;;0,282825
Austria-mobile Hutchison 3G;"43660;4367833;4367890;4367891";0,1555;;0,209925
Austria-mobile Mobicom A1;"43644;43664;43680;43688;4369988;4369989";0,088;;0,1188
Austria-mobile One;"43681;43699";0,1077;;0,145395
Belgium-Telenet;"321020;321044;321089;321141;321171;321172;321174;321175;321176;321191;321220;321221;321222;321288;321289;321325;321326;321327;321328;321329;321330;321388;321389;321466;321470;321471;321472;321473;321474;321475;321489;321533;321534;321535;321536;321537;321563;321564;321565;321566;321567;321588;321589;321641;321643;321684;321685;321686;321688;321689;321690;321920;321988;321989;32230;322310;322408;322418;322429;322444;322473;322889;323283;323288;323289;323290;323292;323293;323294;323295;323296;323297;323298;323299;323333;323336;323337;323338;323689;324244;324288;324389;325064;325065;325066;325067;325068;325069;325070;325073;325088;325090;325143;325144;325145;325152;325153;325160;325162;325169;325180;325181;325182;325188;325189;325250;325251;325252;325253;325254;325255;325256;325257;325279;325288;325338;325339;325340;325341;325342;325343;325369;325388;325423;325424;325425;325426;325480;325488;325559;325560;325561;325562;325580;325588;325628;325629;325632;325644;325647;325649;325688;325690;325735;325736;325737;325788;325789;325859;325860;325861;325862;325863;325888;325889;325940;325941;325942;325943;325944;325988;325989;326061;326088;326089;326160;326188;326189;326364;326388;326389;326450;326463;326489;326550;326585;326589;326750;326766;326780;326869;326888;326889;326950;326970;326980;327044;327069;327167;327169;3271948;3271949;3278353;327878;328050;328069;328081;328150;328169;328180;328283;328288;328289;328384;328388;328389;328485;328488;328489;328586;328588;328589;328687;328688;328689;328750;328757;328780;328920;328921;328922;328923;328924;328925;328980;328988;329279;329324;329328;329329;329330;329331;329332;329334;329335;329336;329350";0,0213;;0,028755
Belgium-Universal access number;"32702;32703;32704;32706;32707";0,0587;;0,079245
Bosnia & Herzegovina;387;0,1087;;0,146745
Germany;49;0,0133;Германия;0,017955
Qatar-mobile;"97412;9742;9743;9745;9746";0,1768;;0,23868
United Kingdom-NTS (+44 845);44845;0,0555;;0,074925
United Kingdom-NTS (+44 870);44870;0,11;;0,1485
United Kingdom-NTS (+44 871);44871;0,1865;;0,251775
United States of America;"1201;1202;1203;1205;1206;1207;1208;1209;1210;1212;1213;1214;1215;1216;1217;1218;1219;1224;1225;1228;1229;1231;1234;1239;1240;1248;1251;1252;1253;1254;1256;1260;1262;1267;1269;1270;1276;1281;1301;1302;1303;1304;1305;1307;1308;1309;1310;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1323;1325;1330;1331;1334;1336;1337;1339;1341;1347;1351;1352;1360;1361;1385;1386;1401;1402;1404;1405;1406;1407;1408;1409;1410;1412;1413;1414;1415;1417;1419;1423;1424;1425;1430;1432;1434;1435;1440;1442;1443;1454;1469;1478;1479;1480;1484;1501;1502;1503;1504;1505;1507;1508;1509;1510;1512;1513;1515;1516;1517;1518;1520;1530;1534;1540;1541;1551;1559;1561;1562;1563;1564;1567;1570;1571;1573;1574;1575;1580;1585;1586;1601;1602;1603;1605;1606;1607;1608;1609;1610;1612;1614;1615;1616;1617;1618;1619;1620;1623;1626;1628;1630;1631;1636;1641;1646;1650;1651;1657;1660;1661;1662;1669;1678;1681;1682;1700;1701;1702;1703;1704;1706;1707;1708;1710;1712;1713;1714;1715;1716;1717;1718;1719;1720;1724;1727;1731;1732;1734;1740;1747;1754;1757;1760;1762;1763;1764;1765;1769;1770;1772;1773;1774;1775;1779;1781;1785;1786;1800;1801;1802;1803;1804;1805;1806;1810;1812;1813;1814;1815;1816;1817;1818;1828;1830;1831;1832;1843;1845;1847;1848;1850;1856;1857;1858;1859;1860;1862;1863;1864;1865;1866;1870;1877;1878;1888;1901;1903;1904;1906;1908;1909;1910;1912;1913;1914;1915;1916;1917;1918;1919;1920;1925;1928;1931;1936;1937;1940;1941;1947;1949;1951;1952;1954;1956;1970;1971;1972;1973;1978;1979;1980;1985;1989";0,011;;0,01485
United States of America-Alaska;1907;0,029;;0,03915
Viet Nam-mobile Mobifone;"84121;84122;84126;84128;8490;8493";0,061;;0,08235
Viet Nam-mobile Others;"8412;8416;849";0,0461;;0,062235
Viet Nam-mobile Vinaphone;"84123;84125;84127;8491;8494";0,061;;0,08235
Yemen;967;0,1362;;0,18387
Yemen-mobile;9677;0,149;;0,20115
Zambia;260;0,0456;;0,06156
Zambia-mobile;2609;0,14;;0,189
